 True       Predicted    Utterance
     request        response     네, 설정합니다. 몇 시로 맞춰놓을까요?
    response         ask_ref     할머니 생일이 언젠지 알려줘.
     request          ask_if     추석 연휴에 일정이 입력되어 있는지 확인해줄래?
     request          inform     약속이 변경되었다고 말해줘.
    response          accept     네, 변경합니다.
     ask_ref         request     우철이의 일정도 확인해줘.
  expressive          accept     네, 알겠습니다.
    response          ask_if     알람이 맞게 설정되었는지 다시 확인해줘.
     request        response     이번 주 토요일에 일정이 있는지 좀 알아봐줘.
     request        response     아름아 서재로 아빠를 불러다줄래?
      accept        response     알겠습니다.
     request        response     이번 주 수요일에 꽃꽂이 강좌를 듣는다고 등록해줘.
     request         ask_ref     이번 달 말일에 스케줄이 없는 날을 검 찾아줘.
     request         ask_ref     가족의 일정을 검색해줄래?
     ask_ref         request     다음달 아빠 생일에 저녁식사 일정을 해줘.
      accept        response     알겠습니다.
    greeting        response     하 아름아 오늘 1일 어땠어? 잘 보냈어?
     request        response     부르셨어요.
     request         ask_ref     아름아 피서 일정을 좀 확인해봐.
     request        greeting     아빠가 아름이 부른다.
     ask_ref        response     오전에 무슨 일을 하셨어요.
     request          inform     어 결혼 시간은 토요일 오후 2시.
     request        response     저녁에 잡혀있던 가족모임을 변경해줄래?
      inform        response     CGV 영화관.
    response          accept     일정을 변경했습니다.
     ask_ref        response     어 다음주 일정을 알려줘.
     request         ask_ref     시간은 오후 1시야.
     request        response     네, 부르셨어요?
    response        greeting     네, 부르셨어요.
     request          inform     그럼 골프 약속 내일로 변경하면 되겠다.
     request         ask_ref     어디로 가면 좋을지 추천해줄래?
    response         ask_ref     내일 무슨 일정이 있니?
    response         ask_ref     오늘 점심시간 이후 엄마 일정이 뭐지?
    response         ask_ref     네, 오전과 오후 약속이 있습니다. 어느 것을 알려드릴까요?
     request         ask_ref     오후 일정 좀 확인해볼래?
    response          accept     변경합니다.
     ask_ref        response     약속날짜가 바꼈어?
      accept        response     네, 변경된 일정을 입력했습니다.
    greeting         ask_ref     어 아름아 뭐하고 놀았어?
